S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
284,SIA/MH/MIN/564404/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271376/2026,"Transfer of Environmental Clearance of Dhangar Takali Sandghat from VANDANA MASKE, Collector Office, Parbhani to Shri. Shaikh Mehrajuddin Shaikh Nizamoddin Proj.Prop. Friends Building Material Suppliers",MAHARASHTRA,SHAIKH MEHRAJUDDIN SHAIKH NIZAMODDIN,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Dhangar Takali Sandghat, Gut No. 8,13, 14, 15, 16, 17, 21, 22, 25, 26, 27, 28, 29, 31, 32, 36, 39, 40, Village – Dhangar Takali, Tal.-Purna, Dist. Parbhani from VANDANA MASKE, Collector Office, Parbhani to Shri. Shaikh Mehrajuddin Shaikh Nizamoddin Proj.Prop. Friends Building Material Suppliers"
285,SIA/MH/INFRA2/566960/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/265895/2025","Application for EC for proposed expansion in S.R. scheme U/Sec 33(10) on Plot Bearing C.T.S. Nos. 381/A/1/4, 381/A/1/5, 555, 556, 557, 558, 559, 560, 561, 562, 563, 564, 565, 566, 567, 568, 574, 748/1, 748/2 and 879 of village Poisar, situated at the junction of 13.40 m wide D. P. Road, Kandivali (East), Mumbai by M/s. Ajmera Iconic Pvt. Ltd. (Earlier known as M/s. M. K. Group)",MAHARASHTRA,AJMERA ICONIC PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 27/01/2026,SEIAA,Under Verification,Residential cum commercial S.R. scheme
286,SIA/MH/MIN/566643/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273247/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Saytola sand ghat on Sati River,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Saytola sand ghat on Sati River
287,SIA/MH/MIN/564874/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271763/2026,"Transfer of EC of Marhegaon Sand Ghat over an extent of 1.5 ha. at Chulbandh River Bed Adjoining Gut No. No. 410, 408, 407, 406, 405, 404, 403, 718, 402, 400, 411, 466, Village Marhegaon, Taluka Lakhani, District Bhandara, Qty-3710 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Marhegaon Sand Ghat over an extent of 1.5 ha. at Chulbandh River Bed Adjoining Gut No. No. 410, 408, 407, 406, 405, 404, 403, 718, 402, 400, 411, 466, Village Marhegaon, Taluka Lakhani, District Bhandara, Qty-3710 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
288,SIA/MH/MIN/564952/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271828/2026,"Transfer of EC of Gavrala 3 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Gut. 65, 50, 739 Village Gavrala, Tehsil Lakhandur, District Bhandara,,Qty- 27138 Brass ,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Gavrala 3 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Gut. 65, 50, 739 Village Gavrala, Tehsil Lakhandur, District Bhandara,,Qty- 27138 Brass ,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
289,SIA/MH/MIN/564732/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271650/2026,"Transfer of Environment Clearance for Dhanori Sand Ghat over an extent of 4.5 ha at Wainganga River Bed Adjoining Gut No. 181/1, 180/2, 181, 579, 182,183, Village Dhanori, Tehsil Pauni, District Bhandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is River Bed Sand mining project
290,SIA/MH/MIN/567074/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273645/2026,"Kawadsi(B) Stone Quarry, Kh. No 28/1(Part), 28/2(Part), 28/3(Part), Village Kawadsi (B), Ta. Bhiwapur, Dist. Nagpur (P.P. Shri Lokesh Damodar Zode & Shri Vikesh Damodar Zode)",MAHARASHTRA,LOKESH ZODE,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Pending at MS SEIAA,"Stone Quarry, Kh. No 28/1(Part), 28/2(Part), 28/3(Part), Village Kawadsi (B), Ta. Bhiwapur, Dist. Nagpur"
291,SIA/MH/MIN/564418/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271364/2026,"Transfer of Environmental Clearance of Manjrat 1 Sand Ghat, Beed from DMO, Beed to Shaikh Najmoddin Shaikh Ajmoddin",MAHARASHTRA,Shaikh najmoddin shaikh ajmoddin,Category: B2 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,EC Granted,"Application for Transfer of EC for Manjrat 1 Sand Ghat, Beed located at Gut no. 36 to 40, 43, 49, 50, 52, 55, Village - Manjrat, Taluka - Majalgaon District - Beed, from DMO, Beed to Shaikh Najmoddin Shaikh Ajmoddin"
292,SIA/MH/MIN/565304/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272108/2026,"Transfer of EC of Mahalgaon-B Sand Ghat, Sur River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.373 ,368,372, 387 lagatcha Bhag, Area-1.92 Ha, Qty-2041 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde",MAHARASHTRA,SAICON CONSTRUCTIONS & INFRA LLP,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Transfer of EC of Mahalgaon-B Sand Ghat, Sur River, Tq. Mauda, Dist. Nagpur, Nearest Gut No. Sur. No.373 ,368,372, 387 lagatcha Bhag, Area-1.92 Ha, Qty-2041 Brass in the name of M/s Saicon Construction & Infra L.L.P. through Mr. Yogiraj Bhagwanrao Shinde"
293,SIA/MH/MIN/567346/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273898/2026,"Transfer of Environmental Clearance of Dharkhed Sand Ghat, Parbhani from Vandana Maske to Durgesh Shantaram Patil",MAHARASHTRA,durgesh shantaram patil,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Referred to SEIAA,"Application for Transfer of EC for Dharkhed Sand Ghat located at Gut No. 14 to 16, 8 to 11, Village - Dharkhed, Taluka - Gangakhed, District - Parbhani from Vandana Maske to Durgesh Shantaram Patil"
294,SIA/MH/MIN/564023/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271022/2026,"Transfer of EC of Seva-2 Sand Ghat, Vana river , Vill. Seva, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 85, 89, 87, 88/2, Area-1.68 Ha, Qty-4759 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Seva-2 Sand Ghat, Vana river , Vill. Seva, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 85, 89, 87, 88/2, Area-1.68 Ha, Qty-4759 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
295,SIA/MH/MIN/564029/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271030/2026,"Transfer of EC of Menkhat Sand Ghat, Vana river , Vill. Menkhat, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 45,46, Area-1.23 Ha, Qty-3030 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Menkhat Sand Ghat, Vana river , Vill. Menkhat, Tq. Samudrapur Dist. Wardha, Nearest Gut No. 45,46, Area-1.23 Ha, Qty-3030 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
296,SIA/MH/MIN/564942/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271822/2026,"Transfer of EC of Gavrala 2 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 65/1, 65/2, Village Gavrala, Tehsil Lakhandur, District Bhandara,Qty-27138,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Gavrala 2 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 65/1, 65/2, Village Gavrala, Tehsil Lakhandur, District Bhandara,Qty-27138,in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
297,SIA/MH/INFRA2/565334/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272065/2026","Environment Clearance for Expansion in Proposed Residential Building “Chheda Greens” on plot bearing S. No. 302 (Old) 181 (New) H no. 9 & 14, S. no. 303 (Old) 179 New, H. No. 1A, 1B, 2, 3, 4, 5, 8, Amalgamation with S. No. 295 (old) 178(new) H. No. 1 of village Navghar, Miraroad (E), Tal and Dist. Thane. By M/s. Chheda Developments.",MAHARASHTRA,CHHEDA DEVELOPMENTS,Category: B2 Sector: INFRA-2 Date of Submission: 19/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,The proposed project is an expansion & amalgamation Project. The current land will be used for residential cum commercial development.
298,IA/MH/IND2/564994/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/141056/2023","Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses/ Sugarcane Syrup",MAHARASHTRA,BABANRAOJI SHINDE SUGAR & ALLIED INDUSTRIES LIMITED,Category: A Sector: Industrial Projects - 2 Date of Submission: 29/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,"Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses /Sugarcane Syrup by Babanaraoji Shinde Sugar & Allied Industries Ltd. at Turkpimpari, Tal.: Barshi, Dist.: Solapur, MS."
299,SIA/MH/MIN/564369/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271336/2026,"Transfer of Environmental Clearance of Deulgaon Ugle Sandghat from DMO, Jalna to M/s Jaishree Gajanan Earthmovers (PP- Shri. Vijay Vithoba Parihar)",MAHARASHTRA,VIJAY PARIHAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Deulgaon Ugle Sandghat, Gut No. 160,162,163,174, Village – Deulgaon Ugle, Tal.-Jafrabad, Dist. Jalna from DMO, Jalna to M/s Jaishree Gajanan Earthmovers (PP- Shri. Vijay Vithoba Parihar)"
300,IA/MH/CMIN/554143/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/259826/2025",Mungoli Nirguda Extension Deep OC,MAHARASHTRA,Western Coalfields Limited,Category: A Sector: Coal Mining Date of Submission: 10/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,"Mugoli Nirguda Extension Deep OC Mine is an existing coal mine of WCL. The mine is located in Mugoli Village, Wani Tehsil, Yavatmal District of Maharashtra State. The mine has already been granted 20% expansion EC for production capacity of 5.25 MTPA (under section 7 (ii) of EIA notification 2006) within project area of 1267.55 ha vide MoEF&CC EC letter Ref no J-11015/299/2010-IA.II(M) dated 11th January, 2022. Considering the demand for coal and feasibility in increasing the production capacity"
301,SIA/MH/MIN/564003/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270987/2026,"Environmental Clearance for the Telgaon (Man) sand Spot over Bhima river located at Gut no. 3,4,5,6,7,8,9,11,14,15,37,38,357 & 358 Village - Telgaon (Man) Taluka- South Solapur",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Telgaon (Man) sand Spot over Bhima river located at Gut no. 3,4,5,6,7,8,9,11,14,15,37,38,357 & 358 Village - Telgaon (Man) Taluka- South Solapur"
302,SIA/MH/MIN/565192/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272010/2026,"Application of Transfer of Environmental Clearance Shivra Bhag -2 Sand Ghat Proposal of Shivra Bhag-2 Sand Ghat Tq. Morshi Dist. Amravati, Nearest Gut no 1 Area--1.20 ha from District Mining Officer, Amaravati to M/s- Akshay Irrigation Services tarfe Mr. Amol Krushnarao Bhore",MAHARASHTRA,Amol K Bhore,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Shivra Bhag -2
303,SIA/MH/INFRA2/568133/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274657/2026","Residential and Commercial Construction Project at Gat No. 1286 (P), Wagholi, Taluka Haveli, Dist. Pune Maharashtra.",MAHARASHTRA,GERA DEVELOPMENTS PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 05/02/2026,SEIAA,Under Examination,"It is residential & commercial construction project proposed at Gat No. 1286 (P), Wagholi, Taluka Haveli, Dist. Pune. Project had obtained first EC vide no. SIA/MH/MIS/ 187663/2020 on 05.08.2021 and 2nd EC vide no EC22B038MHII7688 on 24.11.2022. Transfer of EC was obtained on 09.01.2026 vide no. SIA/MH/INFRA2/559536/2025. Now PP is proposing for expansion in EC."
304,SIA/MH/MIN/566813/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273417/2026,Environmental clearance for proposed river bed sand mining having leases area 1.00 Ha. Veltur Rith. sand ghat on Wainganga.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Ordinary Sand
305,SIA/MH/MIN/565747/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272475/2026,"Transfer of Environmental Clearance Dongri Buzurg 2 Sand Ghat over an extent of 1.62 ha. At Bawanthadi River Bed Adjoining Gut No. 263, 264, 265, 356, 352, 353, 354, 355, Village Dongri Buzurg, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Dongri Buzurg 2 Sand Ghat over an extent of 1.62 ha. At Bawanthadi River Bed Adjoining Gut No. 263, 264, 265, 356, 352, 353, 354, 355, Village Dongri Buzurg, Tehsil Tumsar, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala"
306,SIA/MH/MIN/564843/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271737/2026,"Transfer of Environmental Clearance of Dondewade Sand Ghat, Jalgaon From Rupali Shankar Kale to Pradeep Yuvraj Shah",MAHARASHTRA,pradeep yuvraj shah,Category: B2 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,EC Granted,"Application for Transfer of Environmental Clearance of Dondewade Sand Ghat located at Gut no. 33, 39, 40, & 41 at Village - Dondewade, Tal. - Chopda, Dist. - Jalgaon from Rupali Shankar Kale to Pradeep Yuvraj Shah"
307,SIA/MH/MIN/566569/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273190/2026,"Application of Transfer of Environmental Clearance Khairi Donoda Sand Ghat Proposal of Khairi-Donoda Sand Ghat Tq. Achalpur Dist. Amravati, Nearest Gut no Khairi 140,162,164,165, Benoda 22 To 27, 59 To 61,68 To 70, 78 To 83, Area- 1.02 Ha from District Mining Officer, Amaravati to M/s- Shri. Associates Prop. Mr. Abhijeet Ganeshrao Barbudhe",MAHARASHTRA,Abhijit G Barbude,Category: B2 Sector: Non-Coal Mining Date of Submission: 23/01/2026,SEIAA,EC Granted,Transfer of Environmental Clearance Khairi Donoda Sand Ghat
308,SIA/MH/MIN/563943/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270959/2026,"Environmental Clearance for the Chale Sand Spot over Bhima river located at Gut no. 454,455,456,457,459 &470 Village Chale, Taluka Pandharpur, District Solapur",MAHARASHTRA,neelima yashwant jadhav,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,EC Granted,"Environmental Clearance for the Chale Sand Spot over Bhima river located at Gut no. 454,455,456,457,459 &470 Village Chale, Taluka Pandharpur, District Solapur"
309,SIA/MH/MIN/563770/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270783/2025,"Expansion of Gunj Sand Ghat, Parbhani",MAHARASHTRA,District Mining Officer,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,EC Granted,"Application for Expansion in Environmental Clearance of Gunj Sand Ghat, located at gat no. 44, 45, 50, 51, 52, 1, 9, 10, 11, 19, 27, 28 at Village - Gunj, Tal. Palam, Dist. Parbhani"
310,SIA/MH/INFRA2/566136/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272802/2026","Slum Rehabilitation (Residential and Commercial) Project at Morwadi, Pimpri, Pune by Goel Ganga Promoters through Mr Atul Goel",MAHARASHTRA,GOEL GANGA PROMOTERS,Category: B2 Sector: INFRA-2 Date of Submission: 27/01/2026,SEIAA,Under Verification,"Application is for Plot Subdivision of Slum Rehabilitation (Residential and Commercial) Project at Morwadi, Pimpri, Pune"
311,SIA/MH/MIN/565853/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272569/2026,"Transfer of Environmental Clearance Umarwada Sand Ghat over an extent of 4.50 ha. At Wainganga River Bed Adjoining Gut No. 390, 393, 395, 397, Village Umarwada, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Umarwada Sand Ghat over an extent of 4.50 ha. At Wainganga River Bed Adjoining Gut No. 390, 393, 395, 397, Village Umarwada, Tehsil Tumsar, District Bhandara, Maharashtra. by M/s. Anoj kumar Agarwala"
312,IA/MH/CMIN/564713/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/252014/2025",Amalgamated Gauri Pauni Expansion OC mine,MAHARASHTRA,Western Coalfields Limited,Category: A Sector: Coal Mining Date of Submission: 16/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,Amalgamated Gauri Pauni Expansion OC is an amalgamation and expansion project which involves amalgamation of two existing projects of WCL namely Gauri-Pauni expansion OC and Pauni-II expansion OC along with expansion in south side. This project envisages the increase in production capacity from 6.75 MTPA to 9 MTPA and with increase in ML area from 2386.94 Ha to 3158.79 Ha.
313,SIA/MH/INFRA2/565207/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272027/2026",Proposed construction of “Industrial Shed” project by M/s SKF India Limited,MAHARASHTRA,SKF INDIA LIMITED,Category: B2 Sector: INFRA-2 Date of Submission: 13/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,
314,SIA/MH/MIN/564931/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271812/2026,"Transfer of EC of Nanded 1 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 206, 210, 211, Village Nanded, Tehsil Lakhandur, District Bhandara, Qty -22049 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Nanded 1 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 206, 210, 211, Village Nanded, Tehsil Lakhandur, District Bhandara, Qty -22049 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
315,SIA/MH/MIN/564461/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271428/2026,"Transfer of EC of Karjatghat Sand Ghat , River Kanhan ,Vill Karjatghat, Tq. Savner Dist. Nagpur, Nearest Gut No. 15 Part, Area-3.53 Ha, Qty-7473 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge",MAHARASHTRA,PREMCHAND PARASRAM BHONGE,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EC Granted,"Transfer of EC of Karjatghat Sand Ghat , River Kanhan ,Vill Karjatghat, Tq. Savner Dist. Nagpur, Nearest Gut No. 15 Part, Area-3.53 Ha, Qty-7473 Brass in the name of M/s. Can Group of Industries Through Mr. Premchand Parasram Bhonge"
316,IA/MH/IND2/563775/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270792/2025","Proposed Expansion of Existing Grain Based Distillery from 40 KLPD (40 KL x 365 days = 14,600 KLPA) to 203 KLPD (203 KL x 365 days = 74,095 KLPA) with the addition of 12 KLPD (12 KL x 365 days = 4,380 KLPA) Malt Spirit along with 7.0 MW Captive Power Plant located at Plot No- A 96, MIDC Paithan, Mudhalwadi, Paithan Road, Tal Paithan, District – Chhatrapati Sambhajinagar, State – Maharashtra, Pin Code – 431148 by M/s. Minakshi Agro Industries LLP.",MAHARASHTRA,MINAKSHI AGRO INDUSTRIES LLP,Category: A Sector: Industrial Projects - 2 Date of Submission: 15/01/2026,MOEFCC,Proposal Accepted and Referred to EAC,"M/s. Minakshi Agro Industries LLP has already obtained Environmental Clearance in the name of Minakshi from Morya vide EC Identification No. SIA/MH/IND2/500860/2025; dated 24.10.2025. The industry is presently operating an existing 40 KLPD Grain Based Distillery (equivalent to 14,600 KLPA). The company now proposes an expansion to 203 KLPD Grain Based Distillery (74,095 KLPA) and 12 KLPD Malt Spirit Plant (4,380 KLPA) along with a 7.0 MW Captive Power Plant."
317,SIA/MH/INFRA2/561006/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267806/2025","Proposed Mixed used project on plot bearing CTS No. 2, 2/1, 2/2, 2/3, 2/4, 2/5, 2/6, 2/7, 2/8, 2/9, 2/10, 2/11, 2/12, 2/13, 2/14, 2/15, 3, 4, 12(pt.), 12/1 at village Aakse, CTS Nos. 82,130,131,132, 132/1, 132/2, 132/3, 132/4, 135/5, 132/6, 132/7, 133, 134 at village Marve and CTS Nos. 3530(pt), 3551, 3552 & 3553 at village Malvani in Mumbai. By M/s. India Farmers Private Limited.",MAHARASHTRA,india farmers private limited,Category: B1 Sector: INFRA-2 Date of Submission: 28/01/2026,SEIAA,EDS raised,The proposed project is a Residential cum Commercial development.
318,SIA/MH/INFRA2/566073/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/265140/2025","Proposed Commercial Project at Baner, Pune by M/s. S A K Earth Developers LLP",MAHARASHTRA,S A K EARTH DEVELOPERS LLP,Category: B1 Sector: INFRA-2 Date of Submission: 19/01/2026,SEIAA,Under Verification,"This is a fresh EC application for the Project located at S. No. 46/1(P), Village- Baner, Tal- Haveli, Dist- Pune"
319,SIA/MH/MIN/565697/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272427/2026,"Transfer of Environmental Clearance Kanhalgaon Sand Ghat over an extent of 4.20 ha. At Wainganga River Bed Adjoining Gut No. 6, 381, 375, 376, 374 Village Kanhalgaon, Tehsil Mohadi, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Kanhalgaon Sand Ghat over an extent of 4.20 ha. At Wainganga River Bed Adjoining Gut No. 6, 381, 375, 376, 374 Village Kanhalgaon, Tehsil Mohadi, District Bhandara, Maharashtra, by M/s. Anoj kumar Agarwala"
320,SIA/MH/INFRA2/568117/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/267516/2025","Application for Amendment/Expansion in EC for Proposed Mixed Use Development Under SEZ As Per IT/ ITES Sector and INTEGRATED TOWNSHIP PROJECT (ITP) POLICY at Village Barvai and Bhokarpada at Taluka Panvel and Village Panshil and Talegaon at Taluka Khalapur, District Raigad, State Maharashtra by PERSIPINA DEVELOPERS PRIVATE LIMITED.",MAHARASHTRA,PERSIPINA DEVELOPERS PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 05/02/2026,SEIAA,Under Verification,Mixed Use Development Under SEZ As Per IT/ ITES Sector and INTEGRATED TOWNSHIP PROJECT (ITP) POLICY
321,SIA/MH/MIN/566597/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273200/2026,Environmental clearance for proposed river bed sand mining having leases area 1.5 Ha. Ganpur Rai sand ghat on Wainganga river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.5 Ha. Ganpur Rai sand ghat on Wainganga river.
322,SIA/MH/MIN/565687/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272418/2026,"Application of Transfer of Environmental Clearance Sand Ghat Proposal of Deutwada Sand Ghat Nearest Gut no 96 To 100, 116, 119 To 121, 136 To 144, 146 To 150 Tq. Warud Dist. Amravati, Area- 1.48 Ha, Qty-5216 Brass from District Mining Officer, Amaravati to Mr. Ashay Sanjayrao Shambharkar.",MAHARASHTRA,ASHAY SANJAYRAO SHAMBHARKAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,EC Granted,Sand Gaht
